main	company	header	title	names	text
				John Van Roekel	
			Manager of Systems Engineering		
				Thomas Farthing	
			Systems Engineering Team		
				Brian Buhr	
				Ron Grierson	
				Pablo Herrero	
				Graeme Ing	
				Bob Kline	
				Tavis Margers	
				Chris Rosa	
				Rick Smith	
				Jesse Rodriguez	
					
			Creative Director, Web Presence		
				Nathan Pearce	
			Director of Operations, Web Presence		
				Greg Short	
			Project Manager		
				Steve Fuller	
			Content Team		
				Elliot Feldman	
				Adam Stevens	
			Web Production Team		
				Travis Ball	
				Tim Cox	
				Nick Davison	
				Tim Dunn	
				Monte Green	
				Dan Jones	
				Jacob Robinson	
				Paul Tighe	
			Director of Database Services		
				Deepak Thapliyal	
			Database Services Team		
				Archana Pansuria	
				John McGovern	
				Aaron Valdes	
				David Green	
				Natik Ameen	
				Taylor Steil	
				Stefan Ward	
			Station Store Management		
				Bonnie Davison	
					
		SOE TECHNICAL OPERATIONS			
			Executive Director		
				Michael Bowen	
			Project Management		
				Cameron Enfinger	
				Marie Harrington	
			Director of Production Systems		
				Mark Preston	
			Production System Team		
				David Corning	
				Kirk Lightfoot	
				Sid Jaffee	
				Bryan Glogowski	
				Kevin Ying	
			Director of Engineering Team		
				Dani Roisman	
			Network Engineering Team		
				Brett Hawn	
				Geoff Wade	
			Director of SOE Security		
				Bryan Blank	
			Manager of Office Operations		
				Jeff Bolaris	
			Operations' Team Leads		
				Steven Davis	
				Thomas Delzer	
				Greg Herzbrun	
				Rob Matzker	
				David Prestin	
			Operations Team		
				Eric Flynn	
				Anthony Gervais	
				Rob Matzker	
				Robert Maul	
				Chris Richard	
				Roger Sewell	
				Chris Trichel	
				Ben Cole	
				Jesus Zarazosa	
			Manager of Operational Engineering		
				Wilson Yeung	
			Operational Engineering Developers		
				Timothy Arland	
				Chad Folz	
				Ted Carrington	
				David Taylor	
				Gordon Tetlow	
				Matthew Reynolds	
				Dan Gorman	
				Casey Winn	
				Patrick McCuller	
				Jordon Albert	
				Jeff Jones	
			Installer		
				Patrick McCuller	
				Casey Winn	
			Launchpad		
				Dan Gorman	
					
		EXECUTIVE MANAGEMENT			
			Chairman of the Board		
				Yair Landau	
			President		
				John Smedley	
			Chief Operations Officer		
				Russell Shanks	
			Chief Creative Officer		
				Raph Koster	
			Chief Financial Officer		
				John Needham	
			Chief Technology Officer		
				Adam Joffe	
			Senior Vice President and General Counsel		
				Andy Zaffron	
			Vice President, Studio Manager - Austin		
				Gordon Walton	
			Special Thanks		
				Chris Kramer	
				Debysue Wolfcale	
				Sean Kauppinen	
					
		MOTION CAPTURE - SONY COMPUTER ENTERTAINMENT			
			Vice President of Production Development		
				Shuhei Yoshida	
			Director of Art and Animation Services Group, SCEA		
				Dwayne Mason	
			Motion Capture Manager		
				Brian Rausch	
			Motion Capture Production Supervisor		
				Scott Peterson	
			Motion Capture Project Coordinator		
				Johnny Walker	
			Motion Capture Technology Supervisor		
				Percy Sagun	
			Motion Capture Animation Lead		
				Chad Moore	
			Motion Capture Animators		
				Brian Phipps	
				Frank Strocco	
				Michael Graessle	
				Eryn Roston	
				Daniel Legg	
				Jerry Ashworth	
			Motion Capture Specialist		
				Jake Wilson	
				Travis Parks	
			Motion Capture Technicians		
				Doug Hagstrom	
				Ryan Beeson	
			Motion Capture Tracking Supervisor		
				Michael Shinkle	
			Motion Capture Tracking Technicians		
				David Lbarra	
				Tony Lui	
					
	LucasArts				
			Producer		
				Haden Blackman	
			Associate Producer		
				Julio Torres	
			Localization Producer		
				Ken Rogers	
					
		Quality Assurance			
			Senior Lead Tester		
				John Buzz Buzolich	
			Lead Testers		
				Ryan Bond	
				Nick Eberle	
			Assistant Lead Testers		
				Sean Thomson	
				Tim Temmerman	
			Testers		
				Jonathan Kwong	
				Tony Christopher	
				Bob McGehee	
				Bradley Johnson	
				Cameron Suey	
				Edmund Shih	
				Eric Erbes	
				Eric Marriott	
				Gabriel Roland	
				Ian P. Riutta	
				Jay Tye	
				Jennifer Emsley	
				Kevin Au Young	
				Michael Blair	
				Paul Riggs	
				Ryan Jones	
				Sara Brucker	
				Steve Braman	
				Tom Toom Drake	
				Tony D'Oporto	
			Compatibility Supervisor and Lead Technical Writer		
				Lynn Taylor	
			Lead Network Compatibility Technician		
				Darryl Cobb	
			Compatibility Technicians		
				Brian G. Deksnys	
				Ben Estabrook	
				Dan Martinez	
				David Fleming	
				Isaiah Webb	
				John Shields	
				Kim Jardin	
				Kristine Lauborough	
				Lester Siat	
				Thad Youngquist	
			QA Computer Technician		
				John Carsey	
			Manager of Quality Services		
				Paul Purdy	
			Supervisor of Quality Services		
				Chuck McFadden	
			Product Support Supervisor		
				Jay Geraci	
					
		SOUND AND MUSIC			
			Lead Sound Designer		
				Todd Davies	
					Original Star Wars music composed by John Williams (P) and © Lucasfilm Ltd. & TM. All rights reserved. Used under authorization. Published by Bantha Music (BMI). Administered by and/or co-published with Warner-Tamerlane Music Publishing Corp.
					
					Additional music compsed by Anna Karney, Karney Music and Sounds, Inc.
					
		IT SERVICES			
				Victor Tancredi-Ballugera	
				Greg Millies	
				John Van Eichhorn	
				Melanie Jacobson	
					
		MARKETING AND PUBLIC RELATIONS			
			Director of Public Relations		
				Anne Marie Stein	
			Public Relations Specialist		
				Ronda Scott	
			Director of Marketing		
				John Geoghegan	
			Production Marketing Manager		
				Colleen Werner	
				Jefferson Dong	
			Senior Marketing Coordinator		
				Chris Susen	
			Internet Marketing		
				Jim Passalacqua	
					
		MANUAL AND PACKAGING			
			Manual Editor		
				Matthew Keast	
			Manual Writer		
				Haden Blackman	
				Cinco Barnes	
			Manual Design		
				Patty Hill	
			Packaging Design		
				Origin Studios	
					
		SALES AND OPERATIONS			
			Director of Sales		
				Meredith Cahill	
			Sales Coordinator		
				Mike Maguire	
			Sales Analyst		
				Greg Robles	
			Channel Marketing Manager		
				Tom Moore	
			Channel Marketing Specialist		
				Katy Walden	
			Director of Sales Operations		
				Jason Horstman	
			Materials Manager		
				Evelyne Bolling	
					
		LUCASFILM LICENSING			
				Stacy Cheregotis	
				Chris Gollaher	
				Kristi Kaufman	
				Leland Chee	
				Bijani Mizell	
					
			Special Thanks		
				Jim Ward	
				Mark Barbolak	
				RJ Berg	
				Randy Breen	
				Emily Duval	
				Mike Gallo	
				Denise Gollaher	
				Anne Marie Hawkins	
				Peter Hirschmann	
				Jeff Kliment	
				LEC-RPM	
				Tom McCarthy	
				Camela McLanahan	
				Mike Nelson	
				Darragh O'Farrell	
				Paul Pierce	
				Seth Steinberg	
				Peggy Ary	
				Lisa Swart	
				Jim Tso	
				Matt Urban	
				Scott Taylor	
				SIRI	
				Chris Corry	
				Peter Whiteside	
				Ken Henderson	
				Atsuko Matsumoto	
				Jordan Arnold	
				Brett Tosti	
				Jannett Shirley-Paul	
				Mary Carter	
					
			Very Special Thanks		
				George Lucas	
					
					
					
					Uses Miles Sound System. Copyright © 1991-2000 by RAD Game Tools, Inc. MPEG Layer-3 playback supplied with the Miles Sound System from RAD Game Tools, Inc. MPEG Layer-3 audio compression technology licensed by Fraunhofer IIS and THOMPSON multimedia. Miles 3D Realistic Sound Experience (RSX) Software Copyright (c) 1997-1999 by Intel Corporation and RAD Game Tools, Inc.
					
					Portions of this software are Copyright 1998-2001 Criterion Software Ltd. and its licensors.
					
					Portions of this software are libpng version 1.2.5 - October 3, 2002. Copyright © 1998-2002 Glenn Randers-Pehrson
					
					Regular expression support is provided by the PCRE library package, which is open source software, written by Philip Hazel, and copyright by the University of Cambridge, England. Copyright © 1997-2001 University of Cambridge.
					ftp://ftl.csx.cam.ac.uk/pub/software/programming/pcre
					
					
					
					
					
STAR WARS GALAXIES: AN EMPIRE DIVIDED					
	Sony Online Entertainment				
			Executive Producer		
				Rich Vogel	
			Senior Producer		
				John Donham	
			Creative Director		
				Raph Koster 	
			Art Director		
				Jake Rodgers	
			Technical Director		
				Jeff Grills	
			Associate Producers		
				J. Allen Brack	
				Kevin O'Hara	
		PROGRAMMING			
			Lead Client Engineer		
				Anthony L. Sommers	
			Lead Server Engineer		
				Chris Mayer	
			Programmers		
				Austin Appleby	
				Matthew Bogue	
				Rick Delashmit	
				Todd Fiala	
				Steve Jakab	
				Justin Randall	
				Eric Sebesta	
				Matt Sivertson	
				Calan Thurow	
				John Wesley Watson	
			Additional Programming		
				Acy Stapp	
			Programming Special Thanks		
				Dave Herman	
				Clark Janes	
				Don Neufeld	
				Jeff Peterson	
		ART			
			Assistant Art Director		
				Joe Shoopack	
			Lead World Artist		
				John Roy	
			Production Designer		
				Arnie Jorgensen	
			User Interface		
				Bernadette LaCarte	
			Worlds/Architecture		
				Andrew Collins	
				Rob Cuenca	
				Jeff Dobson	
				Chris Douglas	
				Will Kier	
				Devin Lafontaine	
				Jason Minor	
			Characters/Creatures		
				Don Alexander	
				Dan Borth	
				Andrew Collins	
				Bill Daly	
				Jeff Jonas	
				Minoh Kim	
				Jason Minor	
				Kris Taylor	
				Damon Lane Waldrip	
				Nick Zuccarello	
			Animations		
				Don Alexander	
				Brad Constantine	
				Alan Pickett	
				Damon Lane Waldrip	
				Tim Webb	
			Additional Art		
				Alive Studios	
				Jeremy Jiao	
				Tom Moon	
			Art Special Thanks		
				Rick Randolph	
				Elaina Scott	
				Ben Herrera	
		DESIGN			
			Lead Designer		
				Cinco Barnes	
			Designers		
				Todd Bailey	
				Mike Farone	
				Jeff Freeman	
				John Guentzel	
				Ben Hanson	
				Brandon Reinhart	
				Dan Rubenfield	
				Reece Thornton	
				Ryan Palacio	
				Dave White	
			Design Assistants		
				Jason Abulencia	
				Walter Brame	
				Jeff Carpenter	
				Daniel Clifford	
				Salim Grant	
				Rod Haza	
				Travis Hicks	
				Matt Higby	
				Eli Holding	
				Janessa Johansson	
				Niklas Johansson	
				Chris Johnson	
				Shawn Pitman	
				Roger Sewell	
				Eric Simpson	
				Ben Skelly	
				Scott Snopel	
				Jason Stone	
				Will Wallace	
			Additional Game Design		
				Nick Newhard	
				Anthony Castoro	
			Writers		
				Aaron de Orive	
				Allen Varney	
				Sandy Marshall	
				Kris Andrews	
			BuildMaster		
				Grant McDaniel	
			Assistant BuildMaster		
				James Whisenant 	
			Community Manager		
				Kevin O'Hara	
			Community Representatives		
				Glenn Snyder	
				Jeremy Jiao	
				Matt Kwid	
			Administration		
				Audrey Franklin	
		MOTION CAPTURE			
			Motion Capture Facility		
				Sony Computer Entertainment America	
			VP Product Development, SCEA		
				Shuhei Yoshida 	
			Director of Product Development Services Group, SCEA		
				Dwayne Mason	
			Motion Capture Manager		
				Brian Rausch	
			Motion Capture Project Coordinators		
				Johnny Walker	
				Jason Parks	
			Motion Capture Technology Supervisor		
				Percy Sagun	
			Motion Capture Animation Lead		
				Chad Moore	
			Motion Capture Animator		
				Brian Phipps	
				Frank Strocco	
				Michael Graessle	
				Eryn Roston	
				Travis Parks	
			Motion Capture Specialist		
				Jake Wilson	
			Motion Capture Studio Supervisor		
				James Scarafone	
			Motion Capture Studio Technician		
				Daniel Legg	
				Ryan Beeson	
			Motion Capture Tracking Supervisor		
				Michael Shinkle	
			Motion Capture Tracking Technician		
				David Ibarra	
				Tony Lui	
				Jerry Ashworth	
				Scott Peterson	
				Doug Hagstrom	
			Motion Capture Actors		
				Donald Hom	
				Hiro Koda	
				Sabrina Fox	
			Motion Capture Stunt Coordinator		
				Mark Dirkse, Action Specialists	
		DATABASE SYSTEMS			
			Manager		
				Mike Thompson	
			Database Team		
				Hollis Gray	
				Aaron Valdes	
				Stefan Ward	
		TECHNICAL OPERATIONS			
			Operations Managers		
				Bryan Blank	
				Jeff Bolaris	
				Michael Bowen	
				Michael Butler	
				Cameron Enfinger	
			Production Systems Manager		
				Mark Preston	
			Production Systems Team		
				David Corning	
				Sid Jaffee	
				Kirk Lightfoot	
				Paul Zastoupil	
			Network Systems Manager		
				Dani Roisman	
			Network Systems Team		
				Tim Arland	
				Mike Klug	
			Operations Team		
				Steven Davis	
				Thomas Delzer	
				Lisa Doleshal	
				Chad Folz	
				Ted Garrington	
				Anthony Gervais	
				Stacey M. Griebel	
				Michael Hardman	
				Chris Hatch	
				Greg Herzbrun	
				David Prestin	
				Jonathan Rad	
				Chris Richard	
				Dominico Scaduto	
				Loren G. Skeels	
				Jeremy Siprelle	
				David Taylor	
				Chris Trichel	
				Anna Watts	
			Installer		
				Lawrence Liberty	
				Casey Winn	
			LaunchPad		
				Dan Gorman	
				Steve Lukas	
		QUALITY ASSURANCE			
			Vice President of CS & QA		
				George Scotto	
			QA Director		
				Tony Rado	
			QA Manager		
				Ed Hocking	
			Lead QA		
				Will Figgins	
			QA Testing		
				Jesse Benjamin	
				Ryan Burgess	
				Jalane Crosby	
				Bianca Diaz	
				Salim Grant	
				Taylor Haley	
				Travis Hicks	
				Matt Higby	
				Noah Holmes	
				Shakir Johnson	
				David Jones	
				Rick Kelly	
				Ray Pangle	
				Shen Sabo	
				Eric Simpson	
				Scott Snopel	
				Jason Stone	
				Jason Zimmerman 	
			Compatibility Lab Lead		
				Ryan Antonelli	
			Compatibility Lab		
				Greg Hauser	
			Director, Customer Service		
				Thomas Terrazas	
			Technical Support Customer Service Manager		
				Victor Ramirez	
			Star Wars Galaxies Customer Service Manager		
				Gary Matthews	
		PLATFORM SERVICES			
			Project Manager		
				Marie Harrington	
			Director of Applications and Services Engineering		
				David Dhunjishaw	
			Manager of Applications Engineering		
				Stacey Sofia-McDaniel	
			Applications Engineering Team		
				Leo DeLeon	
				Devon Kim	
				Duy Le	
				Jason Parrott	
				Michael Tucker III	
			Manager of Systems Engineering		
				Craig Snyder	
			Systems Engineering Team		
				Brian Buhr	
				Thomas Farthing	
				Ron Grierson	
				Graeme Ing	
				Tavish Margers	
				Rick Smith	
				Ryan Smith	
				Taylor Steil	
			Director of Web Presence		
				Nathan Pearce	
			Content Manager, Senior Editor		
				Clayton Kroh	
			Content Team		
				Elliot Feldman	
				Steve Fuller	
			Art Director, Web Production Manager		
				Mike Murphy	
			Web Production Team		
				Travis Ball	
				Tim Cox	
				Nick Davison	
				Meribeth Densmore	
				Tim Dunn	
				Monte Green	
				Dan Jones	
				Rich Sjoberg	
				Paul Tighe	
				Ian Wall	
			Station Store Management		
				Bonnie Coats	
		EXECUTIVE MANAGEMENT			
			Chairman of the Board		
				Yair Landau	
			President		
				John Smedley	
			Chief Operations Officer		
				Russell Shanks	
			Chief Financial Officer		
				John Needham	
			Chief Technology Officer		
				Adam Joffe	
			Senior Vice President and General Counsel		
				Andy Zaffron	
			Special Thanks		
				Our Beta Testers	
				Ken Perlin	
				Kevin McCann	
				Brad McQuaid	
				Danny Han	
				Rod Humble	
				Scott McDaniel	
				Christy Fritts	
				Perforce Software, Inc.	
					
				All the wonderful significant others of the Dev Team that acted as life support for us while we made this game.	
					
					
		.			
	LucasArts				
			Producer		
				Haden Blackman	
			Assistant Producer		
				Julio Torres	
			Content Coordinator		
				Justin Lambros	
			Technical Advisor		
				Chris Corry	
		QUALITY ASSURANCE			
			Senior Lead Tester		
				John Buzolich	
			Assistant Lead Testers		
				Ryan Bond	
				Jeff Sanders	
			Testers		
				Matt Beraz	
				Sara Brucker	
				Jennifer Emsley	
				Ben Estabrook	
				Bertrand Estrellado	
				Neilie Johnson	
				Jonathan Kwong	
				Matthew McManus	
				Matt Rubenstein	
				Colby Schneider 	
				Jason Smith	
				Scott Taylor	
				Tim Temmerman	
				Sean Thomson	
				Quentin Westcott	
				Brianna Woodward	
				Kevin AuYoung	
			Compatibility Supervisor and Lead Technical Writer		
				Lynn Taylor	
			Lead Network Compatibility Technician		
				Darryl Cobb	
			Compatibility Technicians		
				G.W. Childs	
				Kristie Garber	
				Brad Grantham	
				Kim Jardin	
				Dan Martinez	
				Greg Quinones	
			QS Computer Technician		
				John Carsey	
			Manager of Quality Services		
				Paul Purdy	
			Quality Assurance Supervisor		
				Chip Hinnenberg	
			Product Support Supervisor		
				Jay Geraci	
		SOUND and MUSIC			
			Lead Sound Designer		
				Todd Davies	
			Additional Sound Design		
				David Collins	
				Michael Frayne	
				J. White	
					
					Original Star Wars music composed by John Williams (P) and (c) Lucasfilm & TM. All rights reserved. Used under authorization. Published by Bantha Music (BMI) Administered by and/or copublished with Warner-Tamerlane Music Publishing Corp.
					
					Additional music composed by Anna Karney, Karney Music and Sounds, Inc.
		VOICE			
			VO Director		
				Haden Blackman	
			Lead Voice Editor		
				Will Beckman	
			Senior Voice Editor		
				Cindy Wong	
			Assistant Voice Editor		
				Harrison Deutsch	
			Voice and International Coordinator		
				Jennifer Sloan	
			Cast		
				Dave Boat	
				Andrew Chaiken	
				Mary Dilts	
				Connie Hall	
				Corina Harman	
				Roger L. Jackson	
				Amanda Moody	
				Bruce Robertson	
			Voices Recorded At		
				LucasArts	
		LucasArts Marketing and Public Relations			
			Senior Product Marketing Manager		
				Marcella Churchill	
			Associate Product Marketing Manager		
				Logan Parr	
			Director of Public Relations		
				Tom Sarris	
			Public Relations Manager		
				Heather Twist Phillips	
			Public Relations Specialist		
				Alexis Mervin	
			Internet Community Relations Specialist		
				Ronda Scott	
			Public Relations		
				Ellen Lynch	
			Internet Marketing		
				Jim Passalacqua	
			International Marketing / PR		
				Kathy Apostoli-Greene	
		MANUAL and PACKAGING			
			Manual Editor		
				Brett Rector	
			Manual Writer		
				Haden Blackman	
			Manual Design		
				Beeline Group	
			Packaging design		
				Blind Mice Studios	
		SALES and OPERATIONS			
			Director of Sales		
				Meredith Cahill 	
			Sales Coordinator		
				Mike Maguire	
			Sales Analyst		
				Greg Robles	
			Channel Marketing Manager		
				Tim Moore	
			Channel Marketing Specialist		
				Katy Walden	
			Director of sales operations		
				Jason Horstman	
			Materials Manager		
				Evelyne Bolling	
		LUCASFILM Licensing			
				Stacy Cheregotis	
				Chris Gollaher	
				Kristi Kaufman	
				Leland Chee	
			Special Thanks		
				Liz Allen	
				Mark Barbolak	
				RJ Berg	
				Mary Bihr	
				Anne-Marie Bonfilio	
				Kevin Boyle	
				Randy Breen	
				Tom Byron	
				Karen Chelini	
				Emily Duval	
				Mike Gallo	
				Denise Gollaher	
				Anne Marie Hawkins	
				Darren Hedges	
				Peter Hirschmann	
				Simon Jeffery	
				Malcom Johnson	
				Andrew Kirmse	
				Jeff Kliment	
				LEC-RPM	
				Tom McCarthy	
				Camela McLanahan	
				Mike Nelson	
				Darragh O'Farrell	
				Brent Oster	
				Paul Pierce	
				Isa Stamos	
				Seth Steinberg	
				Peggy Stok	
				Lisa Swart	
				Reeve Thompson	
				Jim Tso	
				Matt Urban	
					
			Very Special Thanks		
					
				George Lucas	
					
					
					
			Uses Miles Sound System.		
					Copyright (c) 1991-2000 by RAD Game Tools, Inc.  MPEG Layer-3 playback supplied with the Miles Sound System from RAD Game Tools, Inc.  MPEG Layer-3 audio compression technology licensed by Fraunhofer IIS and THOMPSON multimedia.  Miles 3D Realistic Sound Experience (RSX) Software Copyright (c) 1997-1999 by Intel Corporation and RAD Game Tools, Inc.
					
					
					Portions of this software are Copyright 1998-2001 Criterion Software Ltd. and its licensors.
					
					Portions of this software are libpng version 1.2.5 - October 3, 2002. Copyright (c) 1998-2002 Glenn Randers-Pehrson.
					
					Regular expression support is provided by the PCRE library package, which is open source software, written by Philip Hazel, and copyright by the University of Cambridge, England.  Copyright (c) 1997-2001 University of Cambridge.  ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/
